word,translation,phonetic
terrain,noun: 地形，地势，地面，地带，地貌，地表,'terein
inquiry,noun: 询价，研讯，查询，探究，询问，调查，询盘，讯,in'kwaiәri
plunge,noun: 暴跌，大幅下挫，大跌，猛跌，下挫，跳水 verb: 投身,plʌndʒ
gorge,noun: 峡谷，峡，山峡，三峡，大峡谷,gɒ:dʒ
erupt,verb: 爆发，喷发,i'rʌpt
exult,verb: 欢欣鼓舞,ig'zʌlt
swing,noun: 摆动，秋千，挥杆，摇摆，荡秋千，挥拍，摆，回转 verb: 荡，挥棒，摇,swiŋ
shortcoming,noun: 缺点，缺憾，短处，弊，不足之处，弊端,'ʃɒ:t'kʌmiŋ
inaugurate,verb: 开辟,i'nɒ:gjureit
definitive,adj: 明确，权威性，决定性，权威，确切，确定性,di'finitiv
stall,noun: 失速，摊位，摊档，档位，隔间，档，摊 verb: 拖住，拖延，停滞,stɒ:l
condolence,noun: 吊唁，慰问,kәn'dәulәns
propeller,noun: 螺旋桨，推进器，桨,prә'pelә
stint,noun: 吝惜，进站，舍不得,stint
pedigree,noun: 谱系，系谱，开山鼻祖，血统，家谱，身世，族谱，纯种,'pedigri:
rally,noun: 集会，反弹，拉力赛，涨势，拉力，集结，上涨，回升，大会，集合 verb: 团结,'ræli
notable,adj: 显著，值得注意，显着，著名，引人注目，引人注意,'nәutәbl
allure,noun: 诱惑力，吸引力，诱惑，劝导，倾城，魅力,ә'luә
stumble,verb: 绊倒，步履艰难，遭遇挫折，跌倒，蹒跚，绊脚，失足，步履蹒跚,'stʌmbl
legacy,noun: 遗留，遗产，遗留下来，遗风，遗赠，旧式，传奇，遗物,'legәsi
wingspan,noun: 翼展,'wiŋspæn
beachhead,noun: 滩头,'bi:tʃhed
paratrooper,noun: 伞兵,'pærәtru:pә
thwart,verb: 阻挠，挫败，阻扰，阻止,θwɒ:t
vaunted,adj: 吹嘘,
arsenal,noun: 阿森纳，兵工厂，军火库，武器库，武库，核武库，阿森，军械库,'ɑ:snәl
infiltrate,verb: 渗透，渗入，潜入，混进，浸润，混入，打入,in'filtreit
bolster,verb: 提振，支撑，支持,'bәulstә
espionage,noun: 谍报，间谍，间谍罪，从事间谍活动,.espiә'nɑ:ʒ
thievery,noun: 偷窃,'θi:vәri
subversion,noun: 颠覆,sәb'vә:ʃәn
sabotage,noun: 蓄意破坏，怠工 verb: 破坏,'sæbәtɑ:ʒ
speculative,adj: 投机，投机性，思辨，炒卖，投机取巧，投机活动,'spekjuleitiv
menace,noun: 威胁，如虎添翼，祸害,'menis
ensue,verb: 接踵而至，随之而来，接踵而来，紧随其后,en'su:
intrusion,noun: 入侵，侵入，侵，闯入,in'tru:ʒәn
cripple,noun: 瘸子，跛子，残废，废人，残障，瘫痪 verb: 削弱 adj: 残,'kripl
assume,verb: 假设，承担，假定，猜，设想，以为，猜想,ә'sju:m
mundane,adj: 世俗，平凡，平淡无奇，现世，单调，平淡,'mʌndein
loot,noun: 战利品，赃物，掠夺，抢劫，打劫 verb: 洗劫,lu:t
glory,noun: 荣耀，光荣，荣光，辉煌，荣誉，光辉，荣耀归，光彩，争光，荣,'glɒ:ri
plasma,noun: 血浆，等离子体，等离子，浆，离子，血,'plæzmә
recount,noun: 叙事 verb: 叙述,ri'kaunt
rejoice,noun: 飘柔，欣喜 verb: 欢喜，庆幸，喜乐，欢欣鼓舞，欢庆，欢呼，高兴,ri'dʒɒis
mortar,noun: 砂浆，灰浆，灰泥，胶浆，沙浆，臼，浆 adj: 迫击炮,'mɒ:tә
provision,noun: 条文，提供，规定，条款，供应，供给，拨款，粮食,prә'viʒәn
comrade,noun: 同志，战友,'kɒmreid
scour,noun: 冲刷，痢，洗涤剂,'skauә
raisin,noun: 葡萄干，提子,'reizn
depot,noun: 车厂，油库，仓库，库房，车场,'depәu
pivotal,adj: 举足轻重，关键，关键性，枢纽，枢轴,'pivәtәl
fertility,noun: 肥力，生育，生育率，育，丰产，出生率，肥沃，生殖，养分,fә'tiliti
intruder,noun: 入侵者，不速之客，闯入，突然袭击，第三者，闯进，防盗,in'tru:dә
corridor,noun: 走廊，廊道，楼道，长廊，通道，廊，过道,'kɒridɒ:
booth,noun: 布斯，展位，展台，摊位，布思，摊，亭，电话亭,bu:θ
rifle,noun: 步枪，来复枪，来福枪，支步枪，枪,'raifl
patrol,noun: 巡逻，巡逻队，巡警，巡视，巡检，巡，巡查,pә'trәul
ambush,noun: 埋伏，伏击，伏兵，潜伏,'æmbuʃ
counterattack,noun: 反击，反攻,'kauntәrә.tæk
formality,noun: 流于形式，形式上，拘谨，手续，礼节，形式,fɒ:'mæliti
unison,noun: 异口同声，齐声，齐唱，一致,'ju:nisn
wrest,verb: 手中夺取，夺取,rest
astride,prep: 横跨,ә'straid
tycoon,noun: 大亨，巨头，巨子，富翁，富豪,tai'ku:n
czar,noun: 沙皇,zɑ:
deft,adj: 灵巧，轻巧 noun: 麻利，机敏，轻便,deft
wallow,noun: 沉溺，打滚 verb: 沉沦，沉迷,'wɒlәu
swirl,noun: 旋流，漩涡，涡流，漩，涡旋，旋涡,swә:l
grievance,noun: 委屈，冤案，申诉，冤情，冤屈，发牢骚,'gri:vәns
disregard,noun: 漠视，无视，不顾，否认 verb: 忽视，忽略，别管,.disri'gɑ:d
overrule,verb: 否决，驳回,.әuvә'ru:l
magnify,verb: 放大，扩大化，夸大 adv: 气势,'mægnifai
spiral,noun: 螺旋，螺旋形，螺旋式，螺线，螺旋线，螺旋状，旋，旋涡，漩涡，螺，齿,'spairәl
radicalization,noun: 激进,,rædikәlai'zeiʃәn
nondescript,adj: 不伦不类，不三不四,'nɒndiskript
magnate,noun: 巨头，贵人，大亨，大王，业巨头,'mægneit
apparatus,noun: 装置，器具，仪器，仪，设备，器械，器，电器，器材,.æpә'reitәs
animus,noun: 怀有敌意，敌意,'ænimәs
bluff,noun: 虚张声势，钝，诈唬，吓唬，悬崖，崖，摊牌,blʌf
bantered,verb: 嘲笑，嘲,
wary,adj: 警惕，持谨慎态度，谨慎，提防，机警，慎，谨防，小心翼翼，警觉,'wєәri
ominous,adj: 不祥，不祥之兆，不详，凶险，凶,'ɒminәs
inkling,noun: 端倪,'iŋkliŋ
oligarch,noun: 寡头,'ɒligɑ:k
irrational,adj: 非理性，无理，不合常理，不可理喻，莫名，无端，荒谬,i'ræʃәnәl
portray,verb: 描绘，刻画，描摹,pɒ:'trei
villainous,adj: 邪恶,'vilәnәs
conceal,verb: 隐瞒，掩饰，掩盖，隐藏，隐蔽，遮掩,kәn'si:l
dysfunction,noun: 功能障碍，功能紊乱，功能失调，机能障碍，障碍，失调,dis'fʌŋkʃәn
fixation,noun: 固定，固色，固，固定支架,fik'seiʃәn
graft,noun: 接枝，移植，嫁接，植，游离移植，贪污，贪,grɑ:ft
fraud,noun: 欺诈，诈骗，舞弊，欺诈行为，诈骗罪，欺诈罪，诈骗案，造假，骗局，骗子，欺骗,frɒ:d
hodgepodge,noun: 大杂烩,'hɒdʒpɒdʒ
bedraggled,adj: 荒废,bi'drægld
conscripts,verb: 征召入伍 noun: 应征入伍者,
barracks,noun: 兵营，军营，营房，营区，营地,
rubles,noun: 卢布,
delegation,noun: 代表团，转授，访问团，考察团，代表团成员，委派，委托，团，客人,.deli'geiʃәn
dilapidation,noun: 破损,di.læpi'deiʃәn
tangle,noun: 纠结，缠结，纠纷，纠缠，纠葛,'tæŋgl
facade,noun: 立面，门面,fә'sɑ:d
hang,verb: 挂，杭，吊死，绞死，悬挂，恒 noun: 坑，航,hæŋ
disguise,noun: 伪装，变相，乔装，化装，化身 verb: 掩饰，掩盖，假装,dis'gaiz
decay,noun: 衰变，衰减，腐烂，腐朽，衰败，衰退，沦丧，衰落，老化，腐败,di'kei
ravage,verb: 蹂躏，肆虐,'rævidʒ
limp,adj: 跛行，瘫软，跛，软弱无力，一瘸一拐，瘸子，柔软，跛脚 noun: 瘸,limp
colonel,noun: 上校，团长，中校，陆军上校，卡扎菲,'kә:nәl
embezzle,adj: 盗用 verb: 侵吞，挪用,im'bezl
prosecutor,noun: 检察官，公诉人，检控官，检举，原告，检察，检方，检察院,'prɒsikju:tә
convoy,noun: 车队，护卫队，护航，押运，护送，保驾护航，护卫，船队,'kɒnvɒi. kәn'vɒi
inflict,verb: 造成，加害，施加，强加,in'flikt
infantry,noun: 步兵,'infәntri
fury,noun: 愤怒，狂暴，狂怒，怒，暴怒，骚动，盛怒之下，怒火，勃然大怒，躁动,'fjuri
sniper,noun: 狙击手 adj: 狙击，阻击,'snaipә
tactic,noun: 战术，策略，诀,'tæktik
devastate,verb: 摧毁，蹂躏，摧残,'devәsteit
extraordinary,adj: 非凡，非同寻常，超凡，不凡，平凡，不同寻常，特别，特殊,ik'strɒ:dәnәri
waive,verb: 免收，放弃，免去，免除，豁免,weiv
expedite,verb: 加快，加速，尽速，从速 noun: 畅通,'ekspidait
uptick,noun: 上扬，上升,'ʌptik
derogatory,adj: 贬义，贬损，贬低，贬，不敬,di'rɒgәtәri
rash,noun: 皮疹，疹，疹子，红疹 adj: 鲁莽，轻率，出疹，莽撞，草率，卤莽,ræʃ
dismay,noun: 沮丧，惊愕，惊慌，诧异,dis'mei
insoluble,adj: 溶,in'sɒljubl
fiscal,adj: 财政，财，财税，理财，财务,'fiskәl
nonetheless,adv: 尽管如此，无论如何，不管怎样,,nʌnðә'les
subtler,adj: 微妙，细微，奥妙，妙，眇,
deflation,noun: 通货紧缩，通缩，紧缩,di'fleiʃәn
arguably,adv: 按理说，可以,'ɑ:ɡjuәbli
deficit,noun: 赤字，逆差，亏缺，赤，缺陷，亏，亏损，贸易逆差,'defisit
collide,verb: 碰撞 noun: 相撞,kә'laid
bloat,noun: 膨胀，臃肿 verb: 胀气,blәut
pessimist,noun: 悲观主义者，悲观，悲观主义,'pesimist
cohesion,noun: 凝聚力，衔接，内聚力，凝聚，团结,kәu'hi:ʒәn
cushion,noun: 垫层，坐垫，靠垫，垫，垫子，缓冲，缓冲垫，气垫，座垫,'kuʃәn
erratic,adj: 飘忽不定，飘忽，反复无常，古怪，反常，难以捉摸，怪异,i'rætik
alarmist,noun: 危言耸听，杞人忧天,ә'lɑ:mist
undeniable,adj: 不可否认，不容置疑，无庸置疑，无可置疑，毋庸置疑,.ʌndi'naiәbl
incline,noun: 倾斜，斜面，趋向，坡度，斜坡，倾斜度，斜井,in'klain
regrettable,adj: 令人遗憾，遗憾，令人惋惜，可惜，感到遗憾,ri'gretәbl
cruiser,noun: 巡洋舰，艘巡洋舰，警车,'kru:zә
obsessed,adj: 痴迷，鬼迷心窍，中邪，迷恋，着迷，迷住，沉迷，沉溺,
autocratic,adj: 专制，独裁，独断专行，独断，威权，专制主义,.ɒ:tә'krætik
surveillance,noun: 监视，监测，监控，监督，监察，侦察，监护,sә:'veilәns
trump,noun: 特朗普，王牌，特鲁姆普 verb: 胜过，压倒，胜于,trʌmp
lest,prep: 以免，免得,lest
mayhem,noun: 混乱，迫害,'meihem
adapt,verb: 适应，相适应，顺应，调整，改编,ә'dæpt
implication,noun: 意蕴，蕴涵，含义，涵义，寓意，启示，含意，意义，内涵，暗示,.impli'keiʃәn
congenial,adj: 相投，投缘，融洽，合意，投机，宜人，惬意,kәn'dʒi:njәl
autocrat,noun: 独裁者,'ɒ:tәkræt
bow,noun: 弓，蝴蝶结，船头，躬，弓形，弓箭，船首 verb: 低头，鞠躬，屈服，低下,bәu.bau
despotic,adj: 专制，专横，独裁,de'spɒtik
blunt,adj: 钝，生硬，冲，直言不讳，直率，迟钝，冲着，闭合 noun: 布朗特,blʌnt
strive,verb: 力求，力争，努力，奋斗，努力奋斗，追求，争取，争，竭力，精益求精，拼搏,straiv
halve,verb: 减半,hɑ:v
incentive,noun: 激励，诱因，奖励，动机，动力，刺激，鼓励,in'sentiv
scant,adj: 很少，鲜有,skænt
inward,noun: 抵港，内向，内心 adj: 外来，内在，对内,'inwәd
tyranny,noun: 暴政，专制，专治，专制统治，暴虐，专政，暴君，独裁，专横，暴行,'tirәni
stealth,noun: 隐身，隐形，潜行，隐秘，偷偷，暗中,stelθ
guerrilla,noun: 游击，游击队，游击战，游击队员,gә'rilә
retreat,noun: 撤退，退却，退路，退缩，静修，退，务虚，后退，倒退，撤离,ri'tri:t
loom,noun: 织机，织布机，纺织机，筘，机子，织,lu:m
evasive,adj: 回避，规避，避险，模棱两可,i'veisiv
manoeuvre,noun: 回旋余地，回旋，操纵,mә'nu:vә
politburo,noun: 政治局，中央政治局,pә'litbjuәrәu
gleeful,adj: 欣喜若狂，欢乐,'gli:ful
decadence,noun: 颓废，堕落,'dekәdәns
callousness,noun: 麻木不仁,'kæləsnis
abruptly,adv: 突然，硬生生，蓦地，骤然，断然,ә'brʌptli
arduous,adj: 艰巨，艰苦，艰辛，项艰巨，繁重，历尽，费力 noun: 费劲,'ɑ:djuәs
havoc,noun: 浩劫，破坏，肆虐,'hævәk
wreak,verb: 发泄,ri:k
hazy,noun: 朦胧 adj: 烟霞,'heizi
repress,verb: 压制，抑制，压抑,ri'pres
detain,verb: 扣留，拘留，挽留，扣押，耽误，拘捕，留住，羁留 noun: 羁押,di'tein
summon,verb: 召唤，传召，召集，鼓起，传唤，召见 noun: 呼唤,'sʌmәn
erroneous,adj: 错误，有错，谬误,i'rәuniәs
imperative,adj: 势在必行，当务之急，刻不容缓，迫切，必须，必不可少,im'perәtiv
endeavour,noun: 努力，奋进,in'devә
rout,noun: 溃败，狂胜，溃退，大跌 verb: 击溃,raut
ideologue,noun: 理论家,'aidi:әulɔ^
dissent,noun: 异议，持异议，持不同政见者，不同政见，异议人士,di'sent
grim,adj: 严峻，严酷，冷酷，黯淡，残酷，狰狞，暗淡,grim
columnist,noun: 专栏作家，专栏,'kɒlәmist
glimpse,noun: 一瞥，瞥见，掠影，睹，窥，窥见，管窥,glimps
rage,noun: 愤怒，暴怒，风靡一时，怒气，狂怒，一怒之下，狂暴，盛怒，怒火，怒,reidʒ
spark,noun: 火花，星火，电火花，放电，点火 verb: 引发，点燃，激起,spɑ:k
intervene,verb: 干预，介入，干涉，插手，出手干预，干预汇市，入市，调停,.intә'vi:n
resonance,noun: 共振，谐振，共鸣，磁共振,'rezәnәns
retort,noun: 反驳，干馏，蒸煮,ri'tɒ:t
plummet,verb: 直线下降，暴跌，骤降,'plʌmit
dwindle,verb: 萎缩,'dwindl
aspiration,noun: 抽吸，误吸，穿刺，吸入，愿望，吸，心愿，抱负，吸取,.æspә'reiʃәn
slump,noun: 坍落度，暴跌，低迷，不景气，萧条，衰退，经济衰退，滑坡,slʌmp
rudimentary,adj: 简陋，基本，初级,ru:di'mentәri
forgo,verb: 放弃,fɒ:'gәu
wedlock,noun: 非婚生子女，私生子，婚姻,'wedlɒk
resentment,noun: 怨恨，愤恨，不满，忿恨，反感，怨，不满情绪，怨气，憎恨，仇恨,ri'zentmәnt
chives,noun: 韭菜，香葱,tʃaɪvz
cynically,adv: 玩世不恭，冷嘲热讽,
reign,noun: 统治，统治时期，在位，执政，统治地位，王朝,rein
cohort,noun: 队列，小卒，世代 adj: 群组,'kәuhɒ:t
rival,noun: 对手，竞争对手，情敌，劲敌，敌手，竞争者 adj: 敌对，对立 verb: 媲美,'raivl
omit,verb: 省略，忽略，略去，漏掉，遗漏，省去,әu'mit
morale,noun: 士气，斗志，军心，士气低落，鼓舞士气，民心，主旨,mɒ'rɑ:l
salvation,noun: 救恩，救赎，救世，得救，拯救，救星，救助，救国，救世主,sæl'veiʃә
swoop,noun: 一举，俯冲 verb: 趁虚而入，猛扑,swu:p
mercenary,adj: 雇佣军，佣兵，雇佣兵，唯利是图，惟利是图，佣,'mә:sinәri
patriotic,adj: 爱国，爱国主义，爱国热情，爱国心 noun: 卫国,.peitri'ɒtik
fervor,noun: 激情，热情,'fә:vә
drab,adj: 单调，灰褐色，灰暗 noun: 褐,dræb
inmate,noun: 犯人，囚犯，狱友,'inmeit
desert,noun: 沙漠，荒漠，大漠，漠，旷野 verb: 抛弃,'dezәt. di'sә:t
custody,noun: 监护权，保管，羁押，抚养权，监护，拘留，看管，托管，监禁，关押,'kʌstәdi
grave,noun: 坟墓，墓前，墓穴，墓，坟前，坟，墓地 adj: 严重，严峻，严肃,greiv
reliance,noun: 依赖，信赖，倚赖，依赖性,ri'laiәns
convict,verb: 定罪，宣判，有罪 noun: 犯事，罪犯，囚犯，犯人，逃犯,kәn'vikt
oversee,verb: 监督，监察 noun: 监工,.әuvә'si:
trumpet,noun: 小号，喇叭，吹小号，吹喇叭，吹号，喇叭口，号角,'trʌmpit
prominence,noun: 日珥，突出，突显，突起，声望,'prɒminәns
formidable,adj: 强大，艰巨，令人生畏，项艰巨，难对付，令人敬畏，令人畏惧,'fɒ:midәbl
dignified,adj: 端庄，凝重，威严，尊严，庄重，高贵，庄严，得体，体面，尊贵,
frenetic,adj: 狂热,fri'netik
surge,noun: 浪涌，喘振，激增，电涌，调压，增兵，飙升，潮，猛增，涌,sә:dʒ
hoard,verb: 囤积 noun: 囤,hɒ:d
deceleration,noun: 减速,.di:selә'reiʃәn
tepid,adj: 不温不火，温热，不冷不热，温水，清淡,'tepid
inhale,noun: 吸气 verb: 吸入,in'heil
limousine,noun: 豪华轿车，大轿车，辆豪华轿车，专车，轿车,'limәzi:n
implore,verb: 恳请，恳求,im'plɒ:
tribute,noun: 贡品，致敬，进贡，贡，敬意，赞颂，表示敬意，朝贡，赞扬，悼念,'tribju:t
billow,noun: 翻腾，巨浪 adj: 滚滚,'bilәu
tremble,verb: 颤抖，发抖，不寒而栗 adj: 颤栗，战栗 noun: 颤动,'trembl
morph,noun: 变形,mɔf
roster,noun: 名册，花名册，阵容，名单,'rɒstә
appease,verb: 安抚，平息，取悦 noun: 疏导,ә'pi:z
exclusively,adv: 专门，独家，独占，专,ik'sklu:sivli
aggregate,noun: 骨料，集料，聚合，总计，聚集，总量，集合 adj: 总，汇总，总体,'ægrigәt
blind,adj: 盲，盲目，盲人，瞎，瞎子，失明，瞎眼，视而不见，看不见,blaind
divisible,adj: 整除,di'vizәbl
quotient,noun: 商，商数，智商,'kwәuʃәnt
hypocritical,adj: 虚伪，伪善，矫情,.hipә'kritikl
resignation,noun: 辞职，辞职信，辞呈，辞职书，无可奈何，离职，下台，顺从，辞去,.rezig'neiʃәn
prominent,adj: 突出，杰出，显赫，著名，凸显，显著，知名，显眼，卓越,'prɒminәnt
catastrophe,noun: 灾难，巨灾，突变，场灾难，大祸，灾变，劫难，浩劫，灾祸，灾害,kә'tæstrәfi
remorse,noun: 悔恨，自责，懊悔，悔意，反省，后悔，忏悔,ri'mɒ:s
stark,noun: 斯塔克，史塔克，斯达克 adj: 形成鲜明，鲜明，赤裸裸，严酷,stɑ:k
revanchist,adj: 复仇的 noun: 恢复失地运动者,rә'vɔŋʃist,ri'væntʃ-
notion,noun: 概念，观念，理念，想法，观点，念头，观,'nәuʃәn
intensify,verb: 加强，强化，加剧，加大，加紧，激化，深化，加深,in'tensifai
merchandise,noun: 商品，货物，货,'mә:tʃәndaiz
linger,verb: 流连忘返，萦绕，流连，逗留，徘徊，挥之不去，苟延残喘，留恋,'liŋgә
perplex,verb: 困扰,pә'pleks
baffle,noun: 挡板，折流板，隔板,'bæfl
dissect,verb: 解剖，剖析,di'sekt
foster,noun: 福斯特 adj: 寄养，养，收养 verb: 培养，培育，促进，树立,'fɒstә
pessimism,noun: 悲观主义，悲观情绪，悲观,'pesimizm
prospect,noun: 前景，展望，前景展望，前瞻，远景，前途,'prɒspekt
profligacy,noun: 挥霍无度，挥霍，肆意挥霍,'prɒfligәsi
hiccup,noun: 呃逆，打嗝,'hikʌp
shun,noun: 顺，舜，顺城街，顺路，瞬 verb: 回避，避开,ʃʌn
discretionary,adj: 酌情，可自由支配，酌定，自由裁量权，全权,dis'kreʃәnәri
bellwethers,noun: 前导，头羊，带头羊，领导者，系铃羊,
rectification,noun: 整流，整改，精馏，整风，矫正，纠偏，校正，整顿，整治，纠正,.rektifi'keiʃәn
unbridled,adj: 肆无忌惮，放肆,.ʌn'braidld
rehabilitate,verb: 恢复，平反，感化,.ri:hә'biliteit
rack,noun: 架，货架，架子，齿,ræk
lavatory,noun: 厕，厕所，盥洗室，盥洗，卫生间，洗手间,'lævәtәri
clutter,noun: 杂波，杂乱，杂物，混乱，凌乱，杂，杂乱无章，乱七八糟，起伏,'klʌtә
crush,verb: 粉碎，压服，碾碎，压碎 noun: 暗恋，迷恋，挤压，迷，破碎，爱上,krʌʃ
obligatory,adj: 强制性，义不容辞，债权,ɒb'ligәtәri
frail,adj: 脆弱，虚弱，身体虚弱，体弱多病，弱，孱弱，单薄，衰弱,freil
bribe,noun: 贿赂，行贿，受贿，贿，贿赂犯罪，受贿罪 verb: 收买，讨好，拉拢,braib
prefabricated,adj: 预制,ˌpri:ˈfæbrɪkeɪtɪd
ponder,noun: 思考，玩味 verb: 深思，思索，琢磨,'pɒndә
stingy,adj: 吝啬，小气，抠门,'stindʒi
endanger,verb: 危及，危害，连累,in'deindʒә
snobbish,adj: 势利,'snɒbiʃ
gloom·y,adj: 阴沉，阴郁，灰暗，暗淡，黯淡，阴暗，忧郁，阴森，惨淡，幽暗，灰色，暗，忧愁，灰溜溜，黯，苦闷，森，黑暗的，气结,
gloomy,adj: 阴郁，阴沉，悲观，灰暗，阴暗，暗淡，黯淡，郁闷，令人沮丧，忧郁,'glu:mi
sodium,noun: 钠，钠含量,'sәudiәm
rigorous,adj: 严谨，严格，严密，严峻，缜密，严苛，苛刻，严酷,'rigәrәs
invaluable,adj: 宝贵，无价之宝，不可估量，价值连城，珍贵，可贵,in'væljuәbl
uninterrupted,adj: 不间断地，不断，间断,'ʌn.intә'rʌptid
lavish,noun: 奢华 adj: 铺张，奢侈，豪华，无节制，盛大，大方,'læviʃ
disclose,verb: 披露，透露，公开，泄露，透漏，揭露，揭示,dis'klәuz
closure,noun: 闭包，封闭，关闭，闭合，截流，合龙，封，收尾，倒闭,'klәuʒә
bust,noun: 胸围，半身像，萧条，破产，胸部,bʌst
supersede,verb: 取代,.sju:pә'si:d
contraction,noun: 收缩，萎缩，紧缩，缩，挛缩,kәn'trækʃәn
appetite,noun: 食欲，胃口，偏好，欲望，食欲不振，食量，食欲减退，兴趣，意愿,'æpitait
stagnate,verb: 停滞不前，停滞 noun: 凝滞,'stægneit
shed,noun: 棚，棚子，大棚，舍，小屋 verb: 流下，摆脱，脱落，洒,
exclude,verb: 排除，排斥，排除在外,iks'klu:d
mania,noun: 躁狂症，躁狂，狂热，工坊，癫狂，癖好，狂躁，狂潮，热潮,'meiniә
cringe,verb: 畏缩,krindʒ
gratitude,noun: 感激之情，感恩，感激，谢意，感谢，报恩,'grætitju:d
quota,noun: 配额，定额，限额，名额，额度，指标，份额，定量,'kwәutә
surname,noun: 姓，姓氏,'sә:neim
disarm,verb: 解除武装，解除，缴械，裁军,dis'ɑ:m
clientele,noun: 客户，主顾,.kli:ɒn'tel
collapse,noun: 崩溃，倒塌，塌陷，坍塌，崩塌，崩盘，塌，瓦解，解体，倒闭，折叠,kә'læps
wrestle,verb: 摔跤，角力，搏斗，摔角，争战 noun: 格斗，搏,'resl
manhunt,noun: 搜捕，追捕,'mænhʌnt
rampage,noun: 横冲直撞，横行，闹翻，暴跳如雷，暴怒，暴乱,'ræmpeidʒ
poison,noun: 毒药，毒，毒物，毒害，下毒，毒素，毒液，有毒，中毒，药 verb: 毒死,'pɒizn
enforcement,noun: 执法，执行，强制执行，实施，强制，检控,in'fɒ:smәnt
exuberance,noun: 繁荣，繁盛,ig'zju:bәrәns
radius,noun: 半径，桡骨，方圆，径，范围内,'reidiәs
grieve,verb: 悲伤，伤心，疗伤，哀悼，默哀，悲痛,gri:v
animosity,noun: 冰释前嫌，敌意，仇恨,.æni'mɒsiti
anonymity,noun: 不愿透露姓名，匿名，一位不愿透露姓名，透露姓名，隐姓埋名，无名氏，默默无闻,.ænә'nimiti
orchestrate,verb: 编排，协调,'ɒ:kistreit
scam,noun: 骗局，诈骗，骗案，诡计，诈骗案，欺诈，骗人，花招,skæm
ammunition,noun: 弹药，军火，弹药库，弹，子弹，炮弹,.æmju'niʃәn
detective,noun: 侦探，警探，探长，探员，警官，侦查,di'tektiv
enmesh,verb: 缠绕，卷入,in'meʃ
dispute,noun: 纠纷，争端，争议，争执，争论，纷争，争吵 verb: 争,dis'pju:t
boast,verb: 夸耀，吹嘘，夸，自夸，夸口，吹牛 noun: 自吹自擂,bәust
confront,verb: 面对，对抗，直面，面临，正视，质问,kәn'frʌnt
semiautomatic,adj: 半自动,'semi.ɒ:tә'mætik
vigil,noun: 守夜，守候,'vidʒil
enact,verb: 制定，颁布,i'nækt
